pT,acc,classifier,blur
9.530647277832031,0.17495864629745483,Latent Space Pooled Hybrid Classifier,0.1
9.599120140075684,0.1596240997314453,Latent Space Pooled Hybrid Classifier,0.1
9.677835464477539,0.9006150960922241,Latent Space Pooled Hybrid Classifier,0.1
9.891342163085938,0.8371164202690125,Latent Space Pooled Hybrid Classifier,0.1
10.08285140991211,0.8984148502349854,Latent Space Pooled Hybrid Classifier,0.1
10.196359634399414,0.668481707572937,Latent Space Pooled Hybrid Classifier,0.1
10.57548999786377,0.9020357728004456,Latent Space Pooled Hybrid Classifier,0.1
10.758487701416016,0.8800597190856934,Latent Space Pooled Hybrid Classifier,0.1
10.93527889251709,0.8990910649299622,Latent Space Pooled Hybrid Classifier,0.1
11.009583473205566,0.8734523057937622,Latent Space Pooled Hybrid Classifier,0.1
11.249048233032227,0.715976893901825,Latent Space Pooled Hybrid Classifier,0.1
11.465251922607422,0.8835526704788208,Latent Space Pooled Hybrid Classifier,0.1
11.552799224853516,0.9265298843383789,Latent Space Pooled Hybrid Classifier,0.1
11.679617881774902,0.40359997749328613,Latent Space Pooled Hybrid Classifier,0.1
11.688640594482422,0.31349509954452515,Latent Space Pooled Hybrid Classifier,0.1
11.692116737365723,0.888297975063324,Latent Space Pooled Hybrid Classifier,0.1
11.693385124206543,0.49858802556991577,Latent Space Pooled Hybrid Classifier,0.1
11.76554012298584,0.9639256596565247,Latent Space Pooled Hybrid Classifier,0.1
11.82348918914795,0.8231024146080017,Latent Space Pooled Hybrid Classifier,0.1
11.92810344696045,0.877923309803009,Latent Space Pooled Hybrid Classifier,0.1
11.940164566040039,0.8887072205543518,Latent Space Pooled Hybrid Classifier,0.1
12.0778226852417,0.9042767286300659,Latent Space Pooled Hybrid Classifier,0.1
12.166293144226074,0.9475056529045105,Latent Space Pooled Hybrid Classifier,0.1
12.192819595336914,0.10761570930480957,Latent Space Pooled Hybrid Classifier,0.1
12.25269603729248,0.8908136487007141,Latent Space Pooled Hybrid Classifier,0.1
12.319795608520508,0.9068312644958496,Latent Space Pooled Hybrid Classifier,0.1
12.40873908996582,0.48474836349487305,Latent Space Pooled Hybrid Classifier,0.1
12.569425582885742,0.39060360193252563,Latent Space Pooled Hybrid Classifier,0.1
12.599105834960938,0.9435701966285706,Latent Space Pooled Hybrid Classifier,0.1
12.708292007446289,0.15856045484542847,Latent Space Pooled Hybrid Classifier,0.1
12.918475151062012,0.9039778709411621,Latent Space Pooled Hybrid Classifier,0.1
12.992353439331055,0.8586615920066833,Latent Space Pooled Hybrid Classifier,0.1
13.026491165161133,0.8911027908325195,Latent Space Pooled Hybrid Classifier,0.1
13.04778003692627,0.8260676264762878,Latent Space Pooled Hybrid Classifier,0.1
13.141035079956055,0.905173122882843,Latent Space Pooled Hybrid Classifier,0.1
13.168853759765625,0.3519445061683655,Latent Space Pooled Hybrid Classifier,0.1
13.222616195678711,0.9091235995292664,Latent Space Pooled Hybrid Classifier,0.1
13.22387409210205,0.903098464012146,Latent Space Pooled Hybrid Classifier,0.1
13.245407104492188,0.7595651745796204,Latent Space Pooled Hybrid Classifier,0.1
13.249274253845215,0.11115121841430664,Latent Space Pooled Hybrid Classifier,0.1
13.319177627563477,0.8981828093528748,Latent Space Pooled Hybrid Classifier,0.1
13.348892211914062,0.9758701920509338,Latent Space Pooled Hybrid Classifier,0.1
13.460339546203613,0.9113385677337646,Latent Space Pooled Hybrid Classifier,0.1
13.489176750183105,0.9327422976493835,Latent Space Pooled Hybrid Classifier,0.1
13.497090339660645,0.6072623133659363,Latent Space Pooled Hybrid Classifier,0.1
13.50566291809082,0.147599995136261,Latent Space Pooled Hybrid Classifier,0.1
13.599105834960938,0.8684706091880798,Latent Space Pooled Hybrid Classifier,0.1
13.654760360717773,0.8370997309684753,Latent Space Pooled Hybrid Classifier,0.1
13.744035720825195,0.22198450565338135,Latent Space Pooled Hybrid Classifier,0.1
13.784567832946777,0.8269229531288147,Latent Space Pooled Hybrid Classifier,0.1
13.79469108581543,0.5023301243782043,Latent Space Pooled Hybrid Classifier,0.1
13.97250747680664,0.8757398724555969,Latent Space Pooled Hybrid Classifier,0.1
13.998302459716797,0.9521000981330872,Latent Space Pooled Hybrid Classifier,0.1
14.027283668518066,0.90179443359375,Latent Space Pooled Hybrid Classifier,0.1
14.065716743469238,0.11520320177078247,Latent Space Pooled Hybrid Classifier,0.1
14.10716724395752,0.7264212369918823,Latent Space Pooled Hybrid Classifier,0.1
14.309724807739258,0.9416757225990295,Latent Space Pooled Hybrid Classifier,0.1
14.362005233764648,0.11587876081466675,Latent Space Pooled Hybrid Classifier,0.1
14.396736145019531,0.8772174119949341,Latent Space Pooled Hybrid Classifier,0.1
14.457052230834961,0.8939228653907776,Latent Space Pooled Hybrid Classifier,0.1
14.560830116271973,0.9793766736984253,Latent Space Pooled Hybrid Classifier,0.1
14.577414512634277,0.9491298794746399,Latent Space Pooled Hybrid Classifier,0.1
14.665584564208984,0.9111071228981018,Latent Space Pooled Hybrid Classifier,0.1
14.818071365356445,0.8798884153366089,Latent Space Pooled Hybrid Classifier,0.1
14.820084571838379,0.8492690324783325,Latent Space Pooled Hybrid Classifier,0.1
15.024996757507324,0.3661566376686096,Latent Space Pooled Hybrid Classifier,0.1
15.032207489013672,0.6996276378631592,Latent Space Pooled Hybrid Classifier,0.1
15.05253791809082,0.9408418536186218,Latent Space Pooled Hybrid Classifier,0.1
15.068625450134277,0.8506464958190918,Latent Space Pooled Hybrid Classifier,0.1
