epoch,loss,acc,auc,model,lr,weight_decay,blur_size,general_classifier_preference,db_size
52,0.5606529372892562,0.70845,0.7716070375481693,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
53,0.5618795792388308,0.70765,0.7716759364556005,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
54,0.5627309960924136,0.70335,0.7717037121900449,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
55,0.5709023711028373,0.70695,0.7716121505164831,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
56,0.5549626726253777,0.71115,0.771832514745971,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
57,0.5561612871042483,0.71015,0.772036364518488,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
58,0.5675082320620299,0.70175,0.7719812132439394,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
59,0.5584315175463439,0.7103,0.7720718029908498,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
60,0.5528269905573243,0.7144,0.7723089532828696,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
61,0.5612987084373547,0.70635,0.772371577428752,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
62,0.5688313010391916,0.6985,0.7722139103922048,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
63,0.5527684605045683,0.70945,0.7723989094985894,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
64,0.5538098159109711,0.71045,0.7725931046863133,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
65,0.5542499202831536,0.70715,0.7727314175096562,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
66,0.5685419510504243,0.7024,0.7726598842109138,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
67,0.5628172362306315,0.7145,0.7726686254507117,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
68,0.5577949067209936,0.7113,0.7727459661681092,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
69,0.5590402905348759,0.70835,0.7728254319181694,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
70,0.5635396044725066,0.7046,0.7728358024214997,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
71,0.5805439117607797,0.6907,0.7726227196048395,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
72,0.5562832875616232,0.7122,0.7727465714082047,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
73,0.5565942423358844,0.71025,0.7728433599653739,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
74,0.5657379853117998,0.7036,0.7727993671029554,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
75,0.553413086825875,0.7118,0.7729469104448501,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
76,0.5617295763674816,0.7095,0.7729408313266932,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
77,0.5604353566078624,0.7119,0.7730002561482449,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
78,0.5496151452990854,0.7173,0.7731796092029837,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
79,0.5525500476360321,0.713,0.7733166243955192,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
80,0.5669099758764741,0.7037,0.7732671312230027,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
81,0.5600088028011808,0.70705,0.7732854855651229,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
82,0.5509493550297561,0.71595,0.7734251935756398,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
83,0.5669220545489317,0.7065,0.7733991687442289,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
84,0.5839883588301907,0.6934,0.7731849408926822,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
85,0.5669919115722559,0.7056,0.7731512176077132,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
86,0.5665805818168981,0.6997,0.773094252876051,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
87,0.5535048229299533,0.70755,0.7732076864977885,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
