pT,general classifier proportion,label,classifier,blur
45.43507385253906,0.7694972,1.0,Latent Space Pooled Hybrid Classifier,0.1
36.693214416503906,0.7286343,1.0,Latent Space Pooled Hybrid Classifier,0.1
32.0458984375,0.72236747,1.0,Latent Space Pooled Hybrid Classifier,0.1
39.237613677978516,0.7459475,0.0,Latent Space Pooled Hybrid Classifier,0.1
48.69355010986328,0.794881,1.0,Latent Space Pooled Hybrid Classifier,0.1
41.250362396240234,0.75763047,1.0,Latent Space Pooled Hybrid Classifier,0.1
36.13357162475586,0.7193381,1.0,Latent Space Pooled Hybrid Classifier,0.1
43.7116584777832,0.760646,0.0,Latent Space Pooled Hybrid Classifier,0.1
35.21797561645508,0.7078694,0.0,Latent Space Pooled Hybrid Classifier,0.1
38.06306457519531,0.742036,0.0,Latent Space Pooled Hybrid Classifier,0.1
27.41781234741211,0.698689,1.0,Latent Space Pooled Hybrid Classifier,0.1
56.81931686401367,0.8030335,1.0,Latent Space Pooled Hybrid Classifier,0.1
40.89246368408203,0.75683653,1.0,Latent Space Pooled Hybrid Classifier,0.1
39.449188232421875,0.74845695,0.0,Latent Space Pooled Hybrid Classifier,0.1
40.55002212524414,0.75218284,0.0,Latent Space Pooled Hybrid Classifier,0.1
26.723840713500977,0.6958216,0.0,Latent Space Pooled Hybrid Classifier,0.1
32.877166748046875,0.71990705,1.0,Latent Space Pooled Hybrid Classifier,0.1
34.32052230834961,0.70804507,0.0,Latent Space Pooled Hybrid Classifier,0.1
44.982704162597656,0.7689629,0.0,Latent Space Pooled Hybrid Classifier,0.1
34.56490707397461,0.70729035,1.0,Latent Space Pooled Hybrid Classifier,0.1
19.00522232055664,0.6551525,1.0,Latent Space Pooled Hybrid Classifier,0.1
26.42683982849121,0.6956455,1.0,Latent Space Pooled Hybrid Classifier,0.1
49.2337532043457,0.7989064,1.0,Latent Space Pooled Hybrid Classifier,0.1
23.522300720214844,0.68338674,0.0,Latent Space Pooled Hybrid Classifier,0.1
20.18402862548828,0.6613574,1.0,Latent Space Pooled Hybrid Classifier,0.1
38.200138092041016,0.7425229,0.0,Latent Space Pooled Hybrid Classifier,0.1
41.14719009399414,0.7570357,0.0,Latent Space Pooled Hybrid Classifier,0.1
47.585693359375,0.78504694,0.0,Latent Space Pooled Hybrid Classifier,0.1
29.85294532775879,0.71628666,1.0,Latent Space Pooled Hybrid Classifier,0.1
46.97880554199219,0.7793494,1.0,Latent Space Pooled Hybrid Classifier,0.1
47.7239990234375,0.7862931,0.0,Latent Space Pooled Hybrid Classifier,0.1
37.30027389526367,0.733921,1.0,Latent Space Pooled Hybrid Classifier,0.1
38.54549789428711,0.74132943,1.0,Latent Space Pooled Hybrid Classifier,0.1
55.79027557373047,0.80296737,1.0,Latent Space Pooled Hybrid Classifier,0.1
37.44655990600586,0.73725736,1.0,Latent Space Pooled Hybrid Classifier,0.1
37.01197814941406,0.731325,0.0,Latent Space Pooled Hybrid Classifier,0.1
39.56550598144531,0.74908185,1.0,Latent Space Pooled Hybrid Classifier,0.1
46.12080764770508,0.7740849,1.0,Latent Space Pooled Hybrid Classifier,0.1
38.289180755615234,0.74228716,0.0,Latent Space Pooled Hybrid Classifier,0.1
10.519183158874512,0.6212151,1.0,Latent Space Pooled Hybrid Classifier,0.1
36.813232421875,0.7299948,1.0,Latent Space Pooled Hybrid Classifier,0.1
49.10313034057617,0.79833263,1.0,Latent Space Pooled Hybrid Classifier,0.1
36.475128173828125,0.72485596,1.0,Latent Space Pooled Hybrid Classifier,0.1
37.3607177734375,0.7351461,0.0,Latent Space Pooled Hybrid Classifier,0.1
16.65506362915039,0.6445567,0.0,Latent Space Pooled Hybrid Classifier,0.1
42.87309646606445,0.75897557,0.0,Latent Space Pooled Hybrid Classifier,0.1
34.6550178527832,0.70672035,1.0,Latent Space Pooled Hybrid Classifier,0.1
36.574928283691406,0.72673666,1.0,Latent Space Pooled Hybrid Classifier,0.1
29.03594398498535,0.7160096,0.0,Latent Space Pooled Hybrid Classifier,0.1
42.05982208251953,0.7579239,1.0,Latent Space Pooled Hybrid Classifier,0.1
41.421913146972656,0.7576151,0.0,Latent Space Pooled Hybrid Classifier,0.1
25.274486541748047,0.6893991,1.0,Latent Space Pooled Hybrid Classifier,0.1
35.71169662475586,0.71404254,1.0,Latent Space Pooled Hybrid Classifier,0.1
55.93003845214844,0.80297625,0.0,Latent Space Pooled Hybrid Classifier,0.1
28.734378814697266,0.7122241,0.0,Latent Space Pooled Hybrid Classifier,0.1
36.70328903198242,0.7287512,0.0,Latent Space Pooled Hybrid Classifier,0.1
43.71377944946289,0.76063716,0.0,Latent Space Pooled Hybrid Classifier,0.1
40.845489501953125,0.7562716,0.0,Latent Space Pooled Hybrid Classifier,0.1
26.485244750976562,0.69563055,0.0,Latent Space Pooled Hybrid Classifier,0.1
27.370084762573242,0.6984407,0.0,Latent Space Pooled Hybrid Classifier,0.1
25.878395080566406,0.6923478,1.0,Latent Space Pooled Hybrid Classifier,0.1
45.504764556884766,0.76986223,0.0,Latent Space Pooled Hybrid Classifier,0.1
49.416786193847656,0.79959327,0.0,Latent Space Pooled Hybrid Classifier,0.1
23.924638748168945,0.68507254,0.0,Latent Space Pooled Hybrid Classifier,0.1
29.095813751220703,0.71682507,1.0,Latent Space Pooled Hybrid Classifier,0.1
24.24077606201172,0.6855717,1.0,Latent Space Pooled Hybrid Classifier,0.1
37.15528869628906,0.7326749,1.0,Latent Space Pooled Hybrid Classifier,0.1
26.322111129760742,0.69540256,0.0,Latent Space Pooled Hybrid Classifier,0.1
42.0361213684082,0.7579374,1.0,Latent Space Pooled Hybrid Classifier,0.1
59.77762985229492,0.81801194,1.0,Latent Space Pooled Hybrid Classifier,0.1
18.935239791870117,0.65493953,0.0,Latent Space Pooled Hybrid Classifier,0.1
55.53685760498047,0.80295116,0.0,Latent Space Pooled Hybrid Classifier,0.1
31.570417404174805,0.7247066,0.0,Latent Space Pooled Hybrid Classifier,0.1
37.57155990600586,0.7382163,1.0,Latent Space Pooled Hybrid Classifier,0.1
27.161161422729492,0.69729614,1.0,Latent Space Pooled Hybrid Classifier,0.1
42.99900817871094,0.7595707,1.0,Latent Space Pooled Hybrid Classifier,0.1
20.58041763305664,0.6636978,0.0,Latent Space Pooled Hybrid Classifier,0.1
34.52287673950195,0.7075985,1.0,Latent Space Pooled Hybrid Classifier,0.1
44.016422271728516,0.76234645,0.0,Latent Space Pooled Hybrid Classifier,0.1
39.153526306152344,0.7451851,0.0,Latent Space Pooled Hybrid Classifier,0.1
23.753385543823242,0.6848021,1.0,Latent Space Pooled Hybrid Classifier,0.1
25.393587112426758,0.6898423,0.0,Latent Space Pooled Hybrid Classifier,0.1
12.872614860534668,0.63010424,0.0,Latent Space Pooled Hybrid Classifier,0.1
37.77431106567383,0.73982066,0.0,Latent Space Pooled Hybrid Classifier,0.1
50.94272232055664,0.80171424,1.0,Latent Space Pooled Hybrid Classifier,0.1
26.021686553955078,0.6936717,1.0,Latent Space Pooled Hybrid Classifier,0.1
30.578289031982422,0.71770287,1.0,Latent Space Pooled Hybrid Classifier,0.1
