epoch,loss,acc,auc,model,lr,weight_decay,blur_size,general_classifier_preference
55,0.6410121936351061,0.6205,0.6827181562297234,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
56,0.6487058345228434,0.6225,0.6825435121820607,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
57,0.6607960388064384,0.60075,0.6819376480405083,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
58,0.6343041397631168,0.6225,0.6820340010524149,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
59,0.6481721978634596,0.618,0.6817518290147135,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
60,0.6338232792913914,0.637,0.681760017448567,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
61,0.6348988059908152,0.64125,0.6818964239229556,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
62,0.641374884173274,0.62925,0.6818049583073327,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
63,0.6370050851255655,0.631,0.6818751069482775,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
64,0.6503498125821352,0.61575,0.6815685025197982,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
65,0.6513621434569359,0.618,0.6813040402466259,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
66,0.6441222708672285,0.6295,0.6812440241198386,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
67,0.6376873571425676,0.62775,0.6812325067212059,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
68,0.6458934135735035,0.62525,0.6811419560205401,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
69,0.6400179238989949,0.6115,0.6809830363422925,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
70,0.6567135993391275,0.605,0.6806879275222556,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
