dataset_size,dataset_proportion,final_auc
8000,0.1,0.7712621065511042
16000,0.2,0.7759212561684243
24000,0.3,0.7798233955385749
32000,0.4,0.7792940044060434
40000,0.5,0.7800590506353502
48000,0.6,0.7835674909064589
56000,0.7,0.784929999884453
64000,0.8,0.7809085397512767
72000,0.9,0.7859110039563122
80000,1.0,0.784145616981633
