dataset_size,dataset_proportion,final_auc
8000,0.1,0.7664785470528999
16000,0.2,0.7756998200382877
24000,0.3,0.7776913570047722
32000,0.4,0.7801197406284266
40000,0.5,0.7824133570532333
48000,0.6,0.7809152972686008
56000,0.7,0.7835820602968325
64000,0.8,0.785583561943588
72000,0.9,0.7849924398110604
80000,1.0,0.7875327185209299
