dataset_size,dataset_proportion,final_auc
8000,0.1,0.7698274334607694
16000,0.2,0.7753720674484886
24000,0.3,0.7767458331098676
32000,0.4,0.7799672825123789
40000,0.5,0.7805928590262935
48000,0.6,0.7818334763848263
56000,0.7,0.7841154795121018
64000,0.8,0.7802506923902985
72000,0.9,0.7822675444053648
80000,1.0,0.7842992723899216
