column_0,column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_24,column_25,column_26,column_27,column_28,column_29,column_30,column_31,column_32,column_33,column_34,column_35,column_36,column_37,column_38,column_39,column_40,column_41,column_42,column_43,column_44,column_45,column_46,column_47,column_48,column_49
0.0,0.0,4.486774274973827e-6,6.653875900859185e-6,0.0000817036974600171,0.00028655007265296454,0.0002427062717698849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1794327374096537e-6,3.084670236302171e-6,0.000014627143519615553,0.00002514858098526287,0.00006624067196866275,0.0001313386828327064,0.0006833000705982569,0.0003412087094711032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9965622424951493e-6,6.821323631231534e-6,0.000025206627386305297,0.000059065440262799265,0.000267907346870567,0.0007383796446089779,0.00203409110446176,0.011277488950486286,0.003185805506973752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.115414824804259e-6,0.000032910612527823264,0.00015372183393641564,0.00028191009402072286,0.000467780382193045,0.00045959497994309685,0.0004947876238306466,0.0004271605025985182,0.0010199592214422497,0.0000580163871811946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.261153688723608e-6,0.000013990172152979899,0.000021705750734182556,0.000023108641558607332,0.000016683090073489618,0.00001840564721663381,0.000015331522355329058,0.000021278745073783593,0.00003415809204037908,0.00010564618941312792,3.2065999652194824e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0163260305633895e-7,2.0165277640331804e-7,1.290965252298584e-6,1.4524812732547672e-6,2.7531112956132683e-6,2.4805773315848827e-6,2.7433011611344906e-6,2.9049625465095344e-6,6.173045411332761e-6,0.00001141259915225276,0.00003668895853316554,7.660506201814786e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0393026806459746e-8,2.822291758563342e-7,3.4270685639697724e-7,1.1291425771154981e-6,3.325939769226343e-7,1.6533873450619794e-6,1.0482797960378128e-6,1.1189490072860816e-6,3.0855961929470492e-6,1.995963094077875e-6,0.000010377111806542319,3.0238840270321525e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,3.6290238074143187e-7,0.0,1.3102186969679534e-7,2.2172931794842287e-7,4.4350299063138234e-7,6.854137127939545e-7,4.233437637845013e-7,2.9227955547746654e-7,2.3694201227389868e-6,7.100308887642211e-6,9.070744825162754e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0235816083875844e-8,0.0,0.0,0.0,1.8141489650325508e-7,1.612576857806712e-7,5.745954361739338e-7,3.9314424580321787e-7,2.8220095011617457e-7,5.241398980189064e-7,8.466875275690026e-7,2.419349204942879e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.4110047505808728e-7,0.0,1.4110047505808728e-7,0.0,0.0,2.620437393935907e-7,2.3180792330971484e-7,0.0,1.5725769832128715e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
