id_0,mother1_0,mother2_0,color1_0,color2_0,px_0,py_0,pz_0,energy_0,mass_0,lifetime_0,spin_0,id_1,mother1_1,mother2_1,color1_1,color2_1,px_1,py_1,pz_1,energy_1,mass_1,lifetime_1,spin_1,n,muon_inv_mass,pT
-13.0,3.0,3.0,0.0,0.0,-19.933843123,39.835942375,-171.84538217,177.52491594,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,19.933843123,-39.835942375,-114.61812238,122.96981086,0.0,0.0,-1.0,5,90.7509856449987,44.54503795661976
-13.0,3.0,3.0,0.0,0.0,-23.521083874,0.79644382736,44.793693459,50.599907935,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,23.521083874,-0.79644382736,-35.032664171,42.203830019,0.0,0.0,-1.0,5,92.28898138712717,23.53456414250926
-13.0,3.0,3.0,0.0,0.0,-39.686728754,13.015269303,45.759286877,61.954386525,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,39.686728754,-13.015269303,122.48792225,129.41300078,0.0,0.0,-1.0,5,91.18307707528523,41.7664180200216
-13.0,3.0,3.0,0.0,0.0,-8.203529479,-39.90466657,96.365497587,104.62308271,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,8.203529479,39.90466657,169.57048171,174.39560939,0.0,0.0,-1.0,5,84.4362804518306,40.739174144497554
-13.0,3.0,3.0,0.0,0.0,-34.538160037,-13.972489404,4.3870746039,37.514815506,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,34.538160037,13.972489404,38.705713657,53.723805046,0.0,0.0,-1.0,5,80.4207527951155,37.2574148175409
-13.0,3.0,3.0,0.0,0.0,-28.365466646,-4.8127066347,57.027333399,63.873927371,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,28.365466646,4.8127066347,-8.7762161858,30.079624561,0.0,0.0,-1.0,5,80.61699329742493,28.770850581743737
-13.0,3.0,3.0,0.0,0.0,-12.939710242,-31.569243098,168.59513361,172.01270967,0.0,0.0,-1.0,13.0,3.0,3.0,0.0,0.0,12.939710242,31.569243098,55.432104642,65.090486525,0.0,0.0,1.0,5,77.65128567555263,34.118224029505704
-13.0,3.0,3.0,0.0,0.0,-2.8565441914,-43.747501233,100.05571447,109.23895691,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,2.8565441914,43.747501233,41.230873856,60.182959945,0.0,0.0,-1.0,5,93.49805276058925,43.84066273277307
-13.0,3.0,3.0,0.0,0.0,3.7226810044,-42.454349493,51.31574439,66.704840657,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,-3.7226810044,42.454349493,115.68765174,123.28772409,0.0,0.0,-1.0,5,90.59271681647091,42.617251726669444
-13.0,3.0,3.0,0.0,0.0,-20.639895053,19.046703147,-91.621266343,95.829215873,0.0,0.0,-1.0,13.0,3.0,3.0,0.0,0.0,20.639895053,-19.046703147,6.1180564993,28.743917338,0.0,0.0,1.0,5,90.59617334319233,28.08526604055574
-13.0,3.0,3.0,0.0,0.0,-21.418020827,36.423089449,70.087136591,81.838742516,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,21.418020827,-36.423089449,39.266699652,57.682291587,0.0,0.0,-1.0,5,86.6478935468695,42.25367512010832
-13.0,3.0,3.0,0.0,0.0,41.994755923,-36.018259132,-15.984695139,57.588062952,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,-41.994755923,36.018259132,-32.410696952,64.119636562,0.0,0.0,-1.0,5,111.67206519693494,55.32517072664344
-13.0,3.0,3.0,0.0,0.0,35.3953523,15.668350091,24.593784043,45.860466336,0.0,0.0,-1.0,13.0,3.0,3.0,0.0,0.0,-35.3953523,-15.668350091,107.12390715,113.90285177,0.0,0.0,1.0,5,90.41442163186375,38.70824407042064
-13.0,3.0,3.0,0.0,0.0,-20.597418854,-28.368178833,37.31520008,51.199915926,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,20.597418854,28.368178833,200.37007258,203.41379801,0.0,0.0,-1.0,5,91.28994733717781,35.057199456719076
-13.0,3.0,3.0,0.0,0.0,-9.5612921529,-37.76545556,23.02157745,45.250867059,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,9.5612921529,37.76545556,108.92382128,115.68079696,0.0,0.0,-1.0,5,92.13800647889887,38.95700118447828
-13.0,3.0,3.0,0.0,0.0,35.008090495,-24.409752619,54.717169252,69.392874519,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,-35.008090495,24.409752619,21.883416316,47.961300365,0.0,0.0,-1.0,5,88.90642638945718,42.67789150165325
-13.0,3.0,3.0,0.0,0.0,3.7686509201,16.627115119,31.830851103,36.109095376,0.0,0.0,-1.0,13.0,3.0,3.0,0.0,0.0,-3.7686509201,-16.627115119,-57.19156847,59.678632617,0.0,0.0,1.0,5,92.36949089765571,17.048861749044978
-13.0,3.0,3.0,0.0,0.0,24.597682999,32.485837838,1.9083475505,40.792370112,0.0,0.0,-1.0,13.0,3.0,3.0,0.0,0.0,-24.597682999,-32.485837838,-39.356052151,56.650459044,0.0,0.0,1.0,5,89.95984867750221,40.74770753007004
-13.0,3.0,3.0,0.0,0.0,-36.523321128,27.322045428,24.439700649,51.746943101,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,36.523321128,-27.322045428,14.438967486,47.842773066,0.0,0.0,-1.0,5,91.68729863111989,45.6119189750739
-13.0,3.0,3.0,0.0,0.0,18.794287814,10.712703602,44.876474043,49.818522613,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,-18.794287814,-10.712703602,-35.857577166,41.877835583,0.0,0.0,-1.0,5,91.2517485067063,21.633013495575984
-13.0,3.0,3.0,0.0,0.0,29.94722691,22.590606269,-14.120635035,40.081968827,0.0,0.0,-1.0,13.0,3.0,3.0,0.0,0.0,-29.94722691,-22.590606269,55.135022199,66.686149717,0.0,0.0,1.0,5,98.57611872551662,37.51228986878847
-13.0,3.0,3.0,0.0,0.0,25.445898666,20.783890184,-6.4903419276,33.490123745,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,-25.445898666,-20.783890184,-107.61060006,112.51446616,0.0,0.0,-1.0,5,91.09508938943726,32.85519517672832
-13.0,3.0,3.0,0.0,0.0,23.297132287,22.623415209,-8.464257465,33.559185672,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,-23.297132287,-22.623415209,67.32442664,74.747265575,0.0,0.0,-1.0,5,90.91626843645294,32.47422498716159
-13.0,3.0,3.0,0.0,0.0,5.6045304799,-42.696672648,16.871685343,46.250085226,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,-5.6045304799,42.696672648,22.875955671,48.761931514,0.0,0.0,-1.0,5,86.29836822805068,43.06293785972573
-13.0,3.0,3.0,0.0,0.0,41.068422281,-7.8925251076,-146.48955227,152.34203683,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,-41.068422281,7.8925251076,-60.851559149,73.836437563,0.0,0.0,-1.0,5,90.36794671939155,41.819938560746756
-13.0,3.0,3.0,0.0,0.0,-39.465956513,-23.465314793,-90.051098708,101.08107192,0.0,0.0,-1.0,13.0,3.0,3.0,0.0,0.0,39.465956513,23.465314793,-93.16554865,103.86530786,0.0,0.0,1.0,5,91.84050694449739,45.914950961757455
-13.0,3.0,3.0,0.0,0.0,-43.032675216,2.8277889127,42.862354723,60.802869824,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,43.032675216,-2.8277889127,15.698281756,45.893829394,0.0,0.0,-1.0,5,89.18989561150283,43.125485810371224
-13.0,3.0,3.0,0.0,0.0,36.916693753,25.745711789,-156.99397263,163.31806818,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,-36.916693753,-25.745711789,-179.68382038,185.23487593,0.0,0.0,-1.0,5,90.20653269949138,45.00759883814113
-13.0,3.0,3.0,0.0,0.0,-17.081057466,37.780701178,-77.628826271,88.007832457,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,17.081057466,-37.780701178,-204.58224975,208.74156466,0.0,0.0,-1.0,5,91.74482688616467,41.46256028826639
-13.0,3.0,3.0,0.0,0.0,5.1530670498,38.183422398,36.377706203,52.989294718,0.0,0.0,-1.0,13.0,3.0,3.0,0.0,0.0,-5.1530670498,-38.183422398,142.25268167,147.37826599,0.0,0.0,1.0,5,90.76532329262999,38.52957105969157
-13.0,3.0,3.0,0.0,0.0,12.516599265,38.070217424,25.54315815,47.523253679,0.0,0.0,-1.0,13.0,3.0,3.0,0.0,0.0,-12.516599265,-38.070217424,99.276815692,107.06022999,0.0,0.0,1.0,5,91.19225599428071,40.07501356046223
-13.0,3.0,3.0,0.0,0.0,18.018342459,41.046404481,98.341324908,108.07628866,0.0,0.0,-1.0,13.0,3.0,3.0,0.0,0.0,-18.018342459,-41.046404481,134.87519581,142.12947066,0.0,0.0,1.0,5,90.62547357718162,44.82708986525513
-13.0,3.0,3.0,0.0,0.0,12.214052959,41.160943665,95.209175745,104.44229756,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,-12.214052959,-41.160943665,203.44946692,207.93049792,0.0,0.0,-1.0,5,91.54113019561066,42.934908560267836
-13.0,3.0,3.0,0.0,0.0,-26.625601707,35.63818633,12.542596639,46.220338831,0.0,0.0,-1.0,13.0,3.0,3.0,0.0,0.0,26.625601707,-35.63818633,3.3018911986,44.608356579,0.0,0.0,1.0,5,89.43603365001547,44.48598645811511
-13.0,3.0,3.0,0.0,0.0,44.969713389,0.47411258539,35.804371299,57.484370999,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,-44.969713389,-0.47411258539,14.717229668,47.319095027,0.0,0.0,-1.0,5,91.82229754691483,44.972212587690535
-13.0,3.0,3.0,0.0,0.0,-17.554501714,37.471042371,-3.4272709535,41.520907179,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,17.554501714,-37.471042371,38.551119282,56.554649187,0.0,0.0,-1.0,5,91.57035565671333,41.37921636276002
-13.0,3.0,3.0,0.0,0.0,-21.830830754,25.884798533,137.64629772,141.75017193,0.0,0.0,-1.0,13.0,3.0,3.0,0.0,0.0,21.830830754,-25.884798533,16.497103146,37.666462253,0.0,0.0,1.0,5,91.81579706684504,33.86160017636188
-13.0,3.0,3.0,0.0,0.0,15.603991315,-9.8786963799,90.160794677,92.032831554,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,-15.603991315,9.8786963799,-16.905512593,25.037362943,0.0,0.0,-1.0,5,91.31864041015392,18.468166858809912
-13.0,3.0,3.0,0.0,0.0,9.0335884889,-8.3107055575,68.532081645,69.622695742,0.0,0.0,1.0,13.0,3.0,3.0,0.0,0.0,-9.0335884889,8.3107055575,-28.391888232,30.931745267,0.0,0.0,-1.0,5,92.19523024213028,12.2749153907572
-13.0,3.0,3.0,0.0,0.0,-1.5203889363,-39.59143031,-4.8263101228,39.913484012,0.0,0.0,-1.0,13.0,3.0,3.0,0.0,0.0,1.5203889363,39.59143031,52.612524245,65.862513192,0.0,0.0,1.0,5,94.36651590669153,39.62061252062126
