mass,pT
61.9215087890625,8.90219783782959
68.91397644042969,12.726148204803467
75.90644409179687,16.550098571777344
82.89891174316406,20.374048938751223
89.89137939453124,24.197999305725098
96.88384704589843,28.021949672698973
103.87631469726563,31.845900039672852
110.8687823486328,35.66985040664673
117.86125,39.493800773620606
124.85371765136719,43.31775114059448
131.84618530273437,47.14170150756836
138.83865295410158,50.96565187454224
145.83112060546875,54.789602241516114
152.82358825683593,58.61355260848999
159.8160559082031,62.43750297546387
166.8085235595703,66.26145334243775
173.8009912109375,70.08540370941162
180.7934588623047,73.9093540763855
187.78592651367188,77.73330444335937
194.77839416503906,81.55725481033325
201.77086181640624,85.38120517730712
208.76332946777345,89.20515554428101
215.75579711914062,93.02910591125489
222.7482647705078,96.85305627822876
229.740732421875,100.67700664520264
236.7332000732422,104.50095701217651
243.72566772460937,108.32490737915039
250.71813537597654,112.14885774612426
257.7106030273437,115.97280811309815
264.7030706787109,119.79675848007203
271.6955383300781,123.6207088470459
278.6880059814453,127.44465921401978
285.6804736328125,131.26860958099365
292.6729412841797,135.09255994796752
299.6654089355469,138.9165103149414
306.6578765869141,142.7404606819153
313.65034423828126,146.56441104888916
320.64281188964844,150.38836141586305
327.6352795410156,154.2123117828369
334.6277471923828,158.0362621498108
341.62021484375,161.86021251678466
348.61268249511716,165.68416288375855
355.6051501464844,169.50811325073244
362.59761779785157,173.3320636177063
369.59008544921875,177.1560139846802
376.5825531005859,180.97996435165405
383.5750207519531,184.80391471862794
390.5674884033203,188.6278650856018
397.5599560546875,192.4518154525757
404.5524237060547,196.27576581954958
