dataset_size,dataset_proportion,final_auc
8000,0.1,0.7185787427371013
16000,0.2,0.7531000140325695
24000,0.3,0.763013171981533
32000,0.4,0.769125975307165
40000,0.5,0.7754634254978584
48000,0.6,0.7802561391399145
56000,0.7,0.7839097732342131
64000,0.8,0.7858130601337856
72000,0.9,0.785589160514984
80000,1.0,0.7903719015265545
