dataset_size,dataset_proportion,final_auc
8000,0.1,0.7320534923159236
16000,0.2,0.7550765722030399
24000,0.3,0.7660005540352858
32000,0.4,0.7713652319784184
40000,0.5,0.7776997508008151
48000,0.6,0.7802930266318812
56000,0.7,0.782431616815491
64000,0.8,0.78263830152146
72000,0.9,0.786663101566766
80000,1.0,0.786374563810048
