dataset_size,dataset_proportion,final_auc
8000,0.1,0.7247897249883244
16000,0.2,0.7502270195034422
24000,0.3,0.7637038440894482
32000,0.4,0.7727651559429005
40000,0.5,0.7745266520707178
48000,0.6,0.7809525306688891
56000,0.7,0.7779595407706492
64000,0.8,0.7849753940227737
72000,0.9,0.7868178865616449
80000,1.0,0.7887799971724794
