dataset_size,dataset_proportion,final_auc
8000,0.1,0.7315825410240646
16000,0.2,0.7562477739496724
24000,0.3,0.7645451837362648
32000,0.4,0.7729980578748614
40000,0.5,0.7774299863751859
48000,0.6,0.7797920011777062
56000,0.7,0.7817521970431233
64000,0.8,0.7835829751893776
72000,0.9,0.7898389795060423
80000,1.0,0.7914862530836552
