epoch,loss,acc,auc,model,lr,weight_decay,blur_size,db_size
1,0.596565674065025,0.69595,0.7526713591959949,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
2,0.5914430641064978,0.6978,0.7505033330436534,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
3,0.5890388997497072,0.69655,0.7498427741362818,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
4,0.5866274678023757,0.7008,0.7504055819191607,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
5,0.5870452709258742,0.69685,0.7503538566420311,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
6,0.5854178025464344,0.6974,0.7504073337702817,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
7,0.5894458191409991,0.6973,0.750252799294451,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
8,0.5832565565397785,0.6994,0.7505257979371629,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
9,0.581508089782326,0.7047,0.7507995914856226,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
10,0.5868917990262341,0.69645,0.7506550748458455,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
11,0.5825631631787416,0.7016,0.7505974227511596,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
12,0.5863248937448878,0.69755,0.7503549909206364,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
13,0.5804115947644422,0.70785,0.750795487267537,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
14,0.5793263264902079,0.70385,0.7511670686468063,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
15,0.5831243657762077,0.69965,0.7511925809948479,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
16,0.5840178830608441,0.69775,0.7511422391960948,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
17,0.5800798582802912,0.7028,0.7512470818647959,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
18,0.5870193977644489,0.6965,0.7510320467918291,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
19,0.5831944858951933,0.70225,0.7510905963027105,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
20,0.5874437040584103,0.69785,0.7508990796318878,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
21,0.5780503896011668,0.7049,0.7511949443634278,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
22,0.5866391719526546,0.6977,0.7511084602671297,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
23,0.5887155576496367,0.6964,0.7509109705398656,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
24,0.5831211146655356,0.70225,0.750977292127018,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
25,0.5806394638908896,0.70055,0.7510895195126562,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
26,0.5766434775795907,0.7094,0.7514442477605978,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
27,0.5771028277980295,0.703,0.7516788433739022,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
28,0.5876353109718129,0.6971,0.7514782586424594,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
29,0.5817057573871248,0.702,0.7516284172606964,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
30,0.587025120000171,0.69725,0.7515451733959961,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
31,0.5785795334418109,0.7046,0.7517528894581919,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
32,0.5858140965555884,0.6972,0.7516647175535568,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
33,0.582625430290866,0.69995,0.7515717391220017,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
34,0.5818707760731885,0.7021,0.7515882425237586,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
35,0.5813587040278563,0.7034,0.7516382803492039,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
36,0.57927770029967,0.7031,0.7517925428653348,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
37,0.5834629619197481,0.69655,0.7517576863024691,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
38,0.5835486969370751,0.69915,0.7518336420589968,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
39,0.5813053791310377,0.7029,0.7518670090784156,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
40,0.5883992758526164,0.69595,0.7517153539705294,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
41,0.5832027525279173,0.70125,0.7517771884396411,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
42,0.5846400646267423,0.7023,0.7517926370578547,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
43,0.5858918014605334,0.6953,0.7517313186644017,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
44,0.5898784602143962,0.69365,0.7515814617454591,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
45,0.5860249043270281,0.69775,0.7514632589271875,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
46,0.5846218692648942,0.69935,0.7514223852461813,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
47,0.5869922647430639,0.6963,0.7513375685231171,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
48,0.5825682798768305,0.702,0.7513992216834237,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
49,0.5830165732438397,0.7,0.7514219154163586,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
50,0.5834031706782663,0.69985,0.7514375885066791,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
51,0.5800355989841899,0.70535,0.7515223254824838,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
52,0.583650860057515,0.6994,0.7515249403663966,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
53,0.5823114237208276,0.7002,0.7515714393221335,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
54,0.5849178270169884,0.6981,0.7515080050127251,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
55,0.5814069949897231,0.70415,0.7515838053717617,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
56,0.5789989675306211,0.70445,0.7516861712241915,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
57,0.5841464349039042,0.70245,0.7517128279200314,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
58,0.58720895666985,0.6938,0.7516831932848409,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
59,0.5822479011146886,0.6985,0.7517169151828353,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
60,0.578784937501713,0.7079,0.7518256854144105,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
61,0.5861298764587208,0.69735,0.7517916068398194,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
62,0.5789979738035019,0.70305,0.7518398016216318,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
63,0.5760964912593745,0.70245,0.751940473727356,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
64,0.5782674416235298,0.70405,0.7520284518354875,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
65,0.5842223858377736,0.7004,0.7520024653193579,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
66,0.585749737206538,0.698,0.7519627599429066,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
67,0.5831905005464129,0.7058,0.7519412677536179,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
