epoch,loss,acc,auc,model,lr,weight_decay,blur_size,db_size
1,0.5945697172432188,0.6962,0.7497733660835381,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
2,0.5880215771638664,0.69965,0.7488682898841226,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
3,0.5872477892857448,0.6955,0.7482563660269218,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
4,0.5838827688223237,0.7017,0.7491740465889345,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
5,0.585748207607087,0.6966,0.7493193419931927,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
6,0.5850135258808258,0.69805,0.7496136782269971,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
7,0.5870685953243523,0.6983,0.7496243461361859,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
8,0.5827236809548298,0.7014,0.7501122188869396,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
9,0.5813195075199102,0.7034,0.7506069000276219,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
10,0.584855896272477,0.69595,0.750613778760418,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
11,0.5825971890786651,0.7013,0.750671329730341,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
12,0.5862193466371791,0.69595,0.7504092524473698,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
13,0.57990420092443,0.7061,0.7507135225367751,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
14,0.5787258315238224,0.70425,0.7511291583559313,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
15,0.5825384536366554,0.7004,0.7511945396628747,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
16,0.5842303607114561,0.6967,0.7511559519304798,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
17,0.580268481734452,0.70395,0.7514346066698891,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
18,0.5863890160041251,0.696,0.751267443931462,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
19,0.5834399740787068,0.70285,0.7513550757383893,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
20,0.5874374829659796,0.69745,0.751151812374636,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
21,0.5761633458410859,0.70465,0.7514844408729804,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
22,0.5865489548178995,0.6975,0.7514149632335564,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
23,0.5843411021551509,0.69785,0.7514286311581049,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
24,0.5813186650822877,0.7011,0.7515284930699919,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
25,0.5807431408554126,0.702,0.7516685010300305,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
26,0.5764474732101343,0.7095,0.752012335490253,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
27,0.5773808111430733,0.7042,0.7522454549762869,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
28,0.5872341234972522,0.6965,0.7521053422766671,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
