epoch,loss,acc,auc,model,lr,weight_decay,blur_size,db_size
58,0.5849488707864361,0.6957,0.7513984504749566,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
59,0.5821492865586736,0.6994,0.7514462454141428,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
60,0.5784198947393211,0.7077,0.751559597240676,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
61,0.5860474140021452,0.6989,0.751529367468379,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
62,0.5790901495392915,0.7027,0.7515814840246419,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
63,0.5759323431048423,0.7031,0.7516885522560113,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
64,0.5782891253756869,0.7032,0.7517776029754936,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
65,0.5841235803191069,0.6997,0.7517486256525284,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
66,0.5852683309916478,0.69795,0.7517115184027342,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
67,0.5826916903447193,0.7053,0.7517029593817305,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
68,0.578805096969483,0.7042,0.7517911794877,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
69,0.5884666925023316,0.69445,0.7517228370465676,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
70,0.5904098342938028,0.69425,0.7516201047089508,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
71,0.5877166365741924,0.6989,0.751565041751742,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
72,0.5829482997299,0.70335,0.7515733756984704,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
73,0.5796409615665484,0.7053,0.7516512511163904,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
74,0.5786360168153313,0.7023,0.7517076591012337,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
75,0.5807870599874265,0.69725,0.7517550556898995,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
76,0.575017771903117,0.70655,0.7518616303717497,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
77,0.5822541635886879,0.69965,0.7518472403601515,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
78,0.5762223863297966,0.7065,0.7519401361341982,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
79,0.579894780353376,0.7024,0.7519874094964754,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
80,0.5850609715577144,0.69805,0.7519708072523157,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
81,0.5823738812261327,0.7028,0.751986046898958,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
82,0.5779330952531972,0.7061,0.7520515881864148,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
83,0.5822411786978412,0.7011,0.7520927080696618,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
84,0.5801852356856037,0.70405,0.752125191703497,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
85,0.5782594547909536,0.7085,0.7522007136964789,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
86,0.5819060880287438,0.70125,0.752223059948004,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
87,0.5792381674241108,0.70145,0.7522773281392234,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
88,0.5808013983213218,0.69835,0.7523432892755245,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
89,0.5838380163642252,0.7001,0.7523453238200639,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
90,0.5843389804955501,0.6983,0.7523369496296325,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
91,0.5832055006057594,0.70245,0.7523298672959086,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
92,0.5859096388148654,0.6974,0.7522997144179301,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
93,0.5824111250175792,0.701,0.7522894553583321,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
94,0.583104724337341,0.69905,0.7522798884517535,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
95,0.5810226883478226,0.7029,0.7523037131469831,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
96,0.5839409676327068,0.6999,0.7522842763588051,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
97,0.5830906762438974,0.7001,0.7522940557625994,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
98,0.5801485397253826,0.7066,0.7523322279418861,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
99,0.5840115144753911,0.69765,0.7523313105660404,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
100,0.5839731533815906,0.70175,0.7523208553384927,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
