dataset_size,dataset_proportion,final_auc
8000,0.1,0.7617012712735401
16000,0.2,0.7625641016798509
24000,0.3,0.7621214446407615
32000,0.4,0.7622394530032977
40000,0.5,0.7652779466617776
48000,0.6,0.7638031246440935
56000,0.7,0.7673023018255755
64000,0.8,0.7658038109658183
72000,0.9,0.7640641479137693
80000,1.0,0.7623104238434794
