dataset_size,dataset_proportion,final_auc
8000,0.1,0.7613002756450145
16000,0.2,0.7634969129033718
24000,0.3,0.7638607892917868
32000,0.4,0.7638368288435358
40000,0.5,0.7663568224581855
48000,0.6,0.7686837397932026
56000,0.7,0.7650571726505717
64000,0.8,0.7637429892340647
72000,0.9,0.762104648154051
80000,1.0,0.7622466554952916
