dataset_size,dataset_proportion,final_auc
8000,0.1,0.7614574144134573
16000,0.2,0.762251261160448
24000,0.3,0.7610363315518512
32000,0.4,0.7653828303289995
40000,0.5,0.7644330511497556
48000,0.6,0.7660669319032156
56000,0.7,0.7621792857639541
64000,0.8,0.7643724555748982
72000,0.9,0.7636240961432174
80000,1.0,0.7622071231604511
