dataset_size,dataset_proportion,final_auc
8000,0.1,0.7592369968436907
16000,0.2,0.7641410585264632
24000,0.3,0.7622139861946046
32000,0.4,0.763188696836677
40000,0.5,0.762505604419636
48000,0.6,0.7622539274411246
56000,0.7,0.76315352
64000,0.8,0.7628160817533371
72000,0.9,0.7637522641754145
80000,1.0,0.7635370576138645
