dataset_size,dataset_proportion,final_auc
8000,0.1,0.7607362518606975
16000,0.2,0.7624242423766091
24000,0.3,0.7667380741105082
32000,0.4,0.7626651893474667
40000,0.5,0.7617296098287286
48000,0.6,0.7660355938428662
56000,0.7,0.766315657064781
64000,0.8,0.7636279364394821
72000,0.9,0.7625795621089473
80000,1.0,0.7619747831209556
