epoch,loss,acc,auc,model,lr,weight_decay,blur_size,general_classifier_preference,db_size
1,0.6007075980305672,0.69425,0.7413487161817786,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,20000
2,0.5786068327724934,0.7135,0.7569593214106428,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,20000
3,0.5723449783399701,0.70575,0.762227894695688,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,20000
4,0.578530166298151,0.698,0.762255477514481,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,20000
5,0.5653544599190354,0.71,0.7637757666900269,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,20000
6,0.5580654162913561,0.713,0.76680515161853,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,20000
7,0.5744839962571859,0.703,0.7661747681970937,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,20000
8,0.5616955682635307,0.71075,0.7671398084819,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,20000
9,0.5721257235854864,0.70275,0.7666840829403957,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,20000
10,0.5587205020710826,0.71175,0.7680036116083077,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,20000
11,0.568972428329289,0.70775,0.767878783651027,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,20000
12,0.574917908757925,0.69725,0.7675238127629253,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,20000
13,0.5553989335894585,0.717,0.7689375998633204,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,20000
14,0.5611507892608643,0.725,0.7699058537007861,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,20000
15,0.5740755349397659,0.69875,0.76975038979315,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,20000
