epoch,loss,acc,auc,model,lr,weight_decay,blur_size,general_classifier_preference,db_size
1,0.5876574758440256,0.70575,0.7512192991943779,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,20000
2,0.5709320977330208,0.71725,0.7612327133226272,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,20000
3,0.5691372407600284,0.713,0.7657223952240737,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,20000
4,0.5722725046798587,0.712,0.7660858953012987,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,20000
5,0.5614946223795414,0.7105,0.7678780211868127,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,20000
6,0.5578488120809197,0.7175,0.7702416135403091,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,20000
7,0.5742785632610321,0.70775,0.7689928965410607,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,20000
8,0.561563509516418,0.7165,0.7695945373167361,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,20000
9,0.5680732391774654,0.7085,0.7692759320915583,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,20000
10,0.5550790121778846,0.71375,0.7703488618124643,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,20000
11,0.5679289679974318,0.70725,0.7701956604909603,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,20000
12,0.5702552553266287,0.698,0.7700457531651066,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,20000
13,0.5546594625338912,0.7215,0.7711848159618431,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,20000
14,0.5576967317610979,0.73,0.7721476696309422,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,20000
15,0.5748843010514975,0.69725,0.7716466247842094,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,20000
16,0.5606055911630392,0.7125,0.7720288522336027,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,20000
17,0.5640486069023609,0.70275,0.7717214151517975,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,20000
18,0.5623663943260908,0.7015,0.7714908400586568,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,20000
19,0.5596449272707105,0.7065,0.7718448066729393,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,20000
