epoch,loss,acc,auc,model,lr,weight_decay,blur_size,general_classifier_preference,db_size
1,0.5679352970639612,0.704,0.7703811098819368,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
2,0.5653181034288589,0.708,0.7705373868301447,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
3,0.565466048990845,0.7036,0.7706161154075862,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
4,0.562200253176841,0.7105,0.7716512768391136,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
5,0.5642845784402957,0.70695,0.771868380558233,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
6,0.563075519671106,0.70885,0.7725481640883908,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
7,0.5659264200811933,0.7058,0.7726809185640711,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
8,0.5645346043595842,0.7109,0.7727785309842932,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
9,0.5619239072511151,0.71135,0.7730897118222344,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
10,0.5620070456699201,0.70705,0.7733314396846188,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
11,0.5586873900358844,0.7119,0.7736706873609792,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
12,0.5666074562983908,0.7065,0.7733636049277536,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
13,0.5581191736421768,0.71845,0.7739339995928117,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
14,0.5579063491836475,0.71335,0.7743231901610182,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
15,0.558744740334286,0.7149,0.7744471847883228,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
16,0.5608504397474277,0.70825,0.774473803440579,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
17,0.5596928140919679,0.7147,0.774578629648231,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
18,0.5647977142576959,0.70605,0.7744288330296971,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
19,0.5600812962860059,0.7086,0.774458832543991,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
20,0.5669823376236448,0.7043,0.7742733097983432,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
21,0.5531973345264508,0.71765,0.77472179001187,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
22,0.5650358492401755,0.707,0.7746633576378802,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
23,0.5604699924113644,0.70695,0.7747563110580895,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
24,0.5567567830632447,0.7116,0.7749596986253282,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
25,0.557290906169612,0.71395,0.7751862515698639,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
26,0.5533329973554915,0.7158,0.7755233614053528,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
27,0.5520163110107373,0.71575,0.7758152845128214,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
28,0.5624629598893937,0.70615,0.7757299213581631,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
29,0.5579859301163133,0.71,0.7758732325045866,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
30,0.5637082778344489,0.70865,0.7757841414435501,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
31,0.5534860125392865,0.7142,0.7760294844422785,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
32,0.5585679417582834,0.7122,0.7760481451024411,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
33,0.555888340921159,0.71235,0.7761231789501403,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
34,0.5567104176730867,0.71495,0.7762997029225912,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
35,0.5561862343056186,0.712,0.7764094669667194,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
36,0.5554873146069278,0.70925,0.7765537819262405,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
37,0.5565507301859035,0.7094,0.7766599099305364,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
38,0.5565457541471833,0.7131,0.7767791856408894,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
39,0.5553472085743193,0.7125,0.77690059151177,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
40,0.5633580031668305,0.70545,0.7768213995665424,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
41,0.5544399727301993,0.71275,0.7770143370760234,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
42,0.5583090609425951,0.7108,0.7771160916423154,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
43,0.5581669137356388,0.70845,0.7771635032125512,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
44,0.5605809050760452,0.70595,0.7771381942649063,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
45,0.5571428869560267,0.70935,0.777195071736163,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
46,0.5604186851507539,0.70825,0.7771941297445406,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
47,0.561392862705668,0.70595,0.7771334803256718,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
48,0.5537576971540026,0.71435,0.7772799321632201,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
49,0.5540607613363083,0.71295,0.7773897123920901,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
50,0.5542834501737243,0.71375,0.7774477186743118,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
51,0.5516081809238264,0.71465,0.7776208154960133,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
52,0.5536820184273324,0.71235,0.7777354191773693,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
53,0.5593502760692767,0.7097,0.7777500963931583,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
54,0.5554974481558345,0.7102,0.7778161029193275,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
55,0.5494194573657528,0.7205,0.7780030655590526,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
56,0.5509600787405755,0.71665,0.7781792181881294,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
57,0.5566409609879658,0.7096,0.7782728299504272,Latent Space Pooled Hybrid Classifier,0.00001,0.001,0.1,,100000
