epoch,loss,acc,auc,model,lr,weight_decay,blur_size,general_classifier_preference,db_size
1,0.5768767242219038,0.70005,0.7625644560278502,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
2,0.569500837736069,0.7057,0.7646755446245673,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
3,0.5683068936797464,0.70295,0.7660826892998488,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
4,0.5647048931212941,0.7129,0.7677211505001529,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
5,0.5680561722463863,0.70725,0.7680502632066429,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
6,0.565229848881436,0.7106,0.7688675582594361,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
7,0.5660773373333512,0.70815,0.7693492453838255,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
8,0.5647261319266763,0.7122,0.7696838675879214,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
9,0.5624008370432884,0.7117,0.7702596425647791,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
10,0.5617113999880043,0.71055,0.770746709640149,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
11,0.5597975895662975,0.7131,0.7711719798182364,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
12,0.5672262960178837,0.70875,0.77103586794157,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
13,0.5603360211013988,0.71645,0.7715907171697157,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
14,0.5581006162865146,0.7145,0.7720777894904429,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
15,0.5609650501779689,0.7104,0.7721842454168371,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
16,0.564202564916793,0.70615,0.7721470039138614,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
17,0.5610962787251563,0.71475,0.7722733043231644,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
18,0.5656909257363362,0.7075,0.772195536546293,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
19,0.5612442047353003,0.71085,0.772225555478038,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
20,0.5665221637601305,0.70595,0.7721345756606506,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
21,0.5547721264468637,0.7182,0.7725954641488726,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
22,0.5657472862939167,0.70795,0.7725965479662424,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
23,0.5595086632640498,0.71085,0.7728066472770159,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
24,0.5602942970907612,0.7086,0.7729248357713494,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
25,0.5594300823226855,0.71345,0.7731503979256651,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
26,0.5537351056648667,0.71765,0.7735424694698781,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
27,0.554175020023516,0.7131,0.7738329283355785,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
28,0.5640880552826414,0.70965,0.7737752525265865,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
29,0.5582409294167902,0.71445,0.7739435758593607,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
30,0.5632242989388241,0.71245,0.7739150427336684,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
31,0.5556134131683665,0.7151,0.7741844748844906,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
32,0.559571085462145,0.71535,0.7742606027295985,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
