epoch,loss,acc,auc,model,lr,weight_decay,blur_size,general_classifier_preference,db_size
1,0.5740999867961665,0.6981,0.7653993687460546,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
2,0.5673081876745649,0.70555,0.7673455468586807,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
3,0.5671479626066366,0.70745,0.7680287086696024,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
4,0.5635254599486187,0.70925,0.7692476360328988,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
5,0.566090697885319,0.70685,0.7694543117740597,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
6,0.56375791331765,0.71125,0.770174024093728,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
7,0.5656047247018025,0.7051,0.7703620977901547,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
8,0.5658383420698202,0.7092,0.7704571896447799,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
9,0.5624882341570155,0.71365,0.7708910613177884,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
10,0.5622506082817248,0.70875,0.7711956584867361,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
11,0.5590079639367996,0.7134,0.77176517040905,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
12,0.5676251657449516,0.70435,0.7715644896227338,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
13,0.5606540126405704,0.7152,0.7720543291046762,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
14,0.558426800806811,0.7114,0.7724497230508687,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
15,0.5626735960602001,0.7058,0.7724472913550634,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
16,0.5637599057073046,0.70385,0.7724028542589269,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
17,0.5610994971861505,0.7164,0.7724464573200204,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
18,0.565222408741143,0.70655,0.7724230056907224,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
19,0.5600659898511923,0.7082,0.7725178265622888,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
20,0.5647272300568356,0.70745,0.7725016556614288,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
21,0.5551934492815832,0.7133,0.7729711486723564,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
22,0.5669678368006542,0.70515,0.7728667929797164,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
23,0.5595509271333172,0.71175,0.7730599677169104,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
24,0.5577070914256345,0.71335,0.7732694107596014,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
25,0.5595436756777915,0.70965,0.7735184525639369,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
26,0.5578254330310093,0.71325,0.7737431544583506,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
27,0.5524997118931667,0.71525,0.7740908418337812,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
28,0.5617800093000862,0.7094,0.7741347460977742,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
29,0.5645387060702987,0.70795,0.7741543267712505,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
30,0.5619712147363431,0.7111,0.7741602663869911,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
31,0.5550603295207783,0.7138,0.7744604943324936,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
32,0.5607277843982551,0.71195,0.7745160631453136,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
33,0.5573684859807324,0.7136,0.7746191050363939,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
34,0.5599820970729658,0.71335,0.774750144730465,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
35,0.5574008592754413,0.709,0.7748763455280786,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
36,0.5622840609140457,0.7082,0.7749528464200973,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
37,0.5586745087887831,0.70745,0.7750541756394524,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
38,0.5648745469226959,0.7067,0.775006248957384,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
39,0.5585119192767295,0.71385,0.7751061450846649,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
40,0.5673183618457454,0.70535,0.7749817045722494,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
41,0.5541365657262741,0.71405,0.7752156648533538,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
42,0.5586395343397833,0.7132,0.7753588520733193,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
43,0.5596719594897738,0.7098,0.7754013799355829,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
44,0.5637206309919904,0.7062,0.7753210541300503,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
45,0.5690688716757829,0.7029,0.7751946144575886,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
46,0.5610388509786812,0.71005,0.7752139546683541,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
47,0.5635962135093228,0.7025,0.7751632881414549,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
48,0.5561089621987313,0.71235,0.7753205725856255,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
49,0.5556368264043408,0.7127,0.7754393348591377,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
50,0.5579583485415027,0.70905,0.7754764520684593,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
51,0.5534227494221584,0.71425,0.7756553487575665,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
52,0.5582584433115212,0.7061,0.7757198103590736,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
53,0.5560004170153551,0.71275,0.7758366196303007,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
54,0.5592000619241386,0.7082,0.7759064294231233,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
55,0.552294947918813,0.71565,0.7760626153472001,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
56,0.5570331785329588,0.71095,0.77617891654466,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
57,0.5606715586155083,0.71095,0.7762429178340265,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
58,0.5559931391743338,0.7095,0.7763343412825082,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
59,0.5540534301548247,0.71405,0.7764421289725556,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
60,0.5522252364902739,0.71565,0.7766122731841753,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
61,0.5630616617810195,0.70645,0.7765948508398753,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
62,0.552923599436025,0.71495,0.7766787152162724,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
63,0.5501501945553312,0.72015,0.776853968051161,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
64,0.5562109804836808,0.70715,0.7769236498473445,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
65,0.5537324342758033,0.7125,0.7769898168137942,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
66,0.5639270492799723,0.7068,0.7769425077352907,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
67,0.5558448392114822,0.7154,0.7770251246610126,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
68,0.5564289725130531,0.71215,0.7771116645990552,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
69,0.5636997029280207,0.70325,0.7770755287835502,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
70,0.5642077622899584,0.70375,0.7770191501865599,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
71,0.5598982284023504,0.70825,0.7770501083329907,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
72,0.5560546225043619,0.71385,0.7771346512496727,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
73,0.5553797608727862,0.7119,0.77720791579751,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
74,0.5507212668467479,0.71615,0.777313132731903,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
