epoch,loss,acc,auc,model,lr,weight_decay,blur_size,general_classifier_preference,db_size
52,0.5619810024264512,0.7064,0.7714066404079981,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
53,0.5674116359015179,0.70635,0.77139222675054,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
54,0.5727446493069837,0.693,0.771148603099754,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
55,0.559825505800308,0.71315,0.7712743705978249,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
56,0.5566668466777559,0.714,0.7714750480077508,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
57,0.563211156873946,0.70885,0.7715730484481703,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
58,0.56514864115958,0.7049,0.7715975150733928,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
59,0.5593759085342382,0.7082,0.7716593548757877,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
60,0.5570426738945542,0.7136,0.7718339374836687,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
61,0.5632286104047375,0.70585,0.7718667867173171,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
62,0.5665928922641049,0.7009,0.7717432517249511,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
63,0.5539744786775795,0.7067,0.7718913741247878,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
64,0.5565475204568,0.70945,0.772037610933983,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
65,0.5630866378355938,0.70775,0.7720690496459394,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
66,0.56315298349994,0.7119,0.7721003896154264,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
67,0.5668210377738734,0.70455,0.7720106153432555,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
68,0.558748181078844,0.70605,0.7720681997070031,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
69,0.5646345419868543,0.7089,0.7720780694926853,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
70,0.5673812052626519,0.70595,0.7720724974045311,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
71,0.5891833030114508,0.68825,0.7717602001922514,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
72,0.5584873817149242,0.71605,0.7718742516384784,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
73,0.557513739273047,0.7102,0.7719602958572938,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
74,0.5612253542918308,0.7103,0.7720106890403828,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
75,0.557063009328903,0.71175,0.7721342786884107,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
76,0.5578725711934885,0.71285,0.7722510154425216,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
77,0.559222447264726,0.7089,0.7723508932441303,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
78,0.5551097432898867,0.7131,0.7724250028986474,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
79,0.5598884274245827,0.70515,0.7724312515382912,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
80,0.5643517458514803,0.70435,0.7724575875623239,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
81,0.5597239280961881,0.71105,0.7724969271537511,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
82,0.5530159908115484,0.71365,0.7726214354634564,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
83,0.5572171687700187,0.7115,0.7727275715181687,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
84,0.568552585733924,0.70305,0.7726981675415571,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
85,0.5663289947874227,0.70895,0.7727098152521752,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
86,0.5700753855097825,0.69415,0.7725991779970092,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
87,0.5621677726317363,0.7052,0.7726441913952198,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
88,0.562741735558601,0.7075,0.7726877844541844,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
89,0.5663674859104643,0.7039,0.7726962057375616,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
90,0.5643547257040716,0.7075,0.7727203956844962,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
