epoch,loss,acc,auc,model,lr,weight_decay,blur_size,general_classifier_preference,db_size
1,0.573696339965626,0.70325,0.7624987256170351,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
2,0.5702999708758798,0.7057,0.7637510449523717,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
3,0.5688754139812129,0.7034,0.7646169330936333,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
4,0.5656392745151642,0.70705,0.766055045825688,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
5,0.5692058008187896,0.7079,0.7660614461239096,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
6,0.5653543521644203,0.70795,0.767224966025271,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
7,0.5681398142674926,0.701,0.7676813589164924,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
8,0.5656281288262386,0.708,0.7681183135341088,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
9,0.5630468416745495,0.7125,0.7687508711356796,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
10,0.5641472159297602,0.7075,0.7690736528007449,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
11,0.5612925701080613,0.7118,0.7695840989424539,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
12,0.5689335522378326,0.7074,0.7694391034536932,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
13,0.5614661906555201,0.7139,0.7699983403254818,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
14,0.5585412544429682,0.71375,0.7705591623926786,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
15,0.5617951090168801,0.71055,0.7707403942141626,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
16,0.5630875520265786,0.7098,0.7708065950701326,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
17,0.5615806551116287,0.71485,0.7710416951323418,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
18,0.5647778228210036,0.70705,0.7710971761395561,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
19,0.5629114856006233,0.712,0.7711232723192151,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
20,0.567628828962897,0.70575,0.7709974196682938,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
21,0.5552799413158636,0.71755,0.7714954608570372,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
22,0.5667794840351031,0.7055,0.771498096616814,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
23,0.5617069617198531,0.7109,0.7716897385412111,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
24,0.5606187788923834,0.7095,0.7718756549253224,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
25,0.5596246840847525,0.71265,0.7721483253539034,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
