epoch,loss,acc,auc,model,lr,weight_decay,blur_size,db_size
1,0.646226423181546,0.62215,0.6827662265000437,General PFN Classifier,0.00001,0.01,0.1,100000
2,0.6144502329978214,0.66055,0.7009124631847738,General PFN Classifier,0.00001,0.01,0.1,100000
3,0.6012068087128317,0.68165,0.714595779889115,General PFN Classifier,0.00001,0.01,0.1,100000
4,0.5968117926530777,0.67985,0.7210720047703293,General PFN Classifier,0.00001,0.01,0.1,100000
5,0.5814905014767009,0.69575,0.7294226894935115,General PFN Classifier,0.00001,0.01,0.1,100000
6,0.5838934682357083,0.688,0.7334787919767369,General PFN Classifier,0.00001,0.01,0.1,100000
7,0.5789024178769179,0.69195,0.7375773215022918,General PFN Classifier,0.00001,0.01,0.1,100000
8,0.5718401941903837,0.70105,0.7414995505130764,General PFN Classifier,0.00001,0.01,0.1,100000
9,0.576098313187338,0.69635,0.7438141420846456,General PFN Classifier,0.00001,0.01,0.1,100000
10,0.5717965457469795,0.69935,0.7462727777804566,General PFN Classifier,0.00001,0.01,0.1,100000
11,0.5738661158236729,0.69965,0.7480322277452426,General PFN Classifier,0.00001,0.01,0.1,100000
12,0.5691541704782255,0.69655,0.7497833587882206,General PFN Classifier,0.00001,0.01,0.1,100000
13,0.5677827636527407,0.70295,0.7513554224125363,General PFN Classifier,0.00001,0.01,0.1,100000
14,0.5676840828482512,0.7006,0.7527776003006476,General PFN Classifier,0.00001,0.01,0.1,100000
15,0.5667810552059465,0.70475,0.7542027657727549,General PFN Classifier,0.00001,0.01,0.1,100000
16,0.5788782123167804,0.6871,0.7542623347149595,General PFN Classifier,0.00001,0.01,0.1,100000
17,0.5737872209138931,0.70115,0.7549409590681462,General PFN Classifier,0.00001,0.01,0.1,100000
18,0.5640727797890924,0.7071,0.756107805558206,General PFN Classifier,0.00001,0.01,0.1,100000
19,0.5613723898389537,0.70915,0.7571811006963713,General PFN Classifier,0.00001,0.01,0.1,100000
20,0.5650220980310137,0.71075,0.7580931324924465,General PFN Classifier,0.00001,0.01,0.1,100000
21,0.5618251698791601,0.70735,0.7590058102593924,General PFN Classifier,0.00001,0.01,0.1,100000
22,0.5699295629361633,0.6988,0.75934981137273,General PFN Classifier,0.00001,0.01,0.1,100000
23,0.5585797952998216,0.71275,0.760343294543071,General PFN Classifier,0.00001,0.01,0.1,100000
24,0.5651501544341919,0.70515,0.7609865223804063,General PFN Classifier,0.00001,0.01,0.1,100000
25,0.564764872478072,0.7083,0.761524380618841,General PFN Classifier,0.00001,0.01,0.1,100000
26,0.5694365370425449,0.6987,0.7618063350131461,General PFN Classifier,0.00001,0.01,0.1,100000
27,0.5588593071053742,0.7101,0.7625507866520181,General PFN Classifier,0.00001,0.01,0.1,100000
28,0.5550493474598903,0.71645,0.7633697257002763,General PFN Classifier,0.00001,0.01,0.1,100000
29,0.5614072743115152,0.71305,0.76389558726425,General PFN Classifier,0.00001,0.01,0.1,100000
30,0.564173617370569,0.69825,0.7642425564621873,General PFN Classifier,0.00001,0.01,0.1,100000
31,0.5679724231647079,0.70185,0.7644946314977968,General PFN Classifier,0.00001,0.01,0.1,100000
32,0.566838045598595,0.7037,0.7647917169241216,General PFN Classifier,0.00001,0.01,0.1,100000
33,0.5632055316381394,0.70275,0.7651706243342016,General PFN Classifier,0.00001,0.01,0.1,100000
34,0.5610271016503595,0.70095,0.7655561677753705,General PFN Classifier,0.00001,0.01,0.1,100000
