epoch,loss,acc,auc,model,lr,weight_decay,blur_size,db_size
1,0.6780936513096094,0.58975,0.6080165936791867,General PFN Classifier,0.00001,0.01,0.1,20000
2,0.6684210114181042,0.6025,0.6235613670069834,General PFN Classifier,0.00001,0.01,0.1,20000
3,0.6662937365472317,0.59025,0.6271980982260014,General PFN Classifier,0.00001,0.01,0.1,20000
4,0.6563621368259192,0.60875,0.6337994216075675,General PFN Classifier,0.00001,0.01,0.1,20000
5,0.6475311685353518,0.61425,0.6414955390456062,General PFN Classifier,0.00001,0.01,0.1,20000
6,0.6393532380461693,0.627,0.6493703679814522,General PFN Classifier,0.00001,0.01,0.1,20000
7,0.6404751017689705,0.6435,0.6559095658379129,General PFN Classifier,0.00001,0.01,0.1,20000
8,0.6321975067257881,0.64975,0.6628280301728581,General PFN Classifier,0.00001,0.01,0.1,20000
9,0.6295426413416862,0.63825,0.6682085329628489,General PFN Classifier,0.00001,0.01,0.1,20000
10,0.6116609070450068,0.68,0.6763065405256734,General PFN Classifier,0.00001,0.01,0.1,20000
11,0.6164627186954021,0.674,0.6817106127188719,General PFN Classifier,0.00001,0.01,0.1,20000
12,0.6207793448120356,0.66,0.6858671054745529,General PFN Classifier,0.00001,0.01,0.1,20000
13,0.6166570503264666,0.65975,0.6889482295566405,General PFN Classifier,0.00001,0.01,0.1,20000
14,0.617516415193677,0.671,0.6917446751949712,General PFN Classifier,0.00001,0.01,0.1,20000
15,0.6166197136044502,0.663,0.6939375578631942,General PFN Classifier,0.00001,0.01,0.1,20000
16,0.5991608146578074,0.68525,0.6974217276465027,General PFN Classifier,0.00001,0.01,0.1,20000
17,0.6098334323614836,0.67625,0.6996704763273884,General PFN Classifier,0.00001,0.01,0.1,20000
18,0.5943090748041868,0.6925,0.7027503666494807,General PFN Classifier,0.00001,0.01,0.1,20000
19,0.6031032390892506,0.6745,0.704169032686325,General PFN Classifier,0.00001,0.01,0.1,20000
20,0.5978400278836489,0.695,0.7067194757247423,General PFN Classifier,0.00001,0.01,0.1,20000
21,0.6007718872278929,0.6885,0.7086984281050123,General PFN Classifier,0.00001,0.01,0.1,20000
22,0.6129345744848251,0.663,0.7093904688004399,General PFN Classifier,0.00001,0.01,0.1,20000
23,0.6005170550197363,0.6785,0.7107878090168807,General PFN Classifier,0.00001,0.01,0.1,20000
24,0.6043908186256886,0.67575,0.7117119542065637,General PFN Classifier,0.00001,0.01,0.1,20000
25,0.5909928623586893,0.68975,0.7132340931217781,General PFN Classifier,0.00001,0.01,0.1,20000
26,0.5947157386690378,0.679,0.7143565711761756,General PFN Classifier,0.00001,0.01,0.1,20000
27,0.5934928618371487,0.68475,0.715896199655975,General PFN Classifier,0.00001,0.01,0.1,20000
