epoch,loss,acc,auc,model,lr,weight_decay,blur_size,db_size
1,0.6466995363782166,0.63365,0.6827752047922944,General PFN Classifier,0.00001,0.01,0.1,100000
2,0.6119727234172213,0.6729,0.7102654076022682,General PFN Classifier,0.00001,0.01,0.1,100000
3,0.596235761217251,0.68685,0.7245635480700768,General PFN Classifier,0.00001,0.01,0.1,100000
4,0.5906971922725629,0.68465,0.7295891483282143,General PFN Classifier,0.00001,0.01,0.1,100000
5,0.5911782642079008,0.68525,0.7323363331706729,General PFN Classifier,0.00001,0.01,0.1,100000
6,0.5764210611391979,0.69905,0.7387220264678381,General PFN Classifier,0.00001,0.01,0.1,100000
7,0.5820446853425093,0.6952,0.7416579562536646,General PFN Classifier,0.00001,0.01,0.1,100000
8,0.5748338171630908,0.69955,0.7447600588276555,General PFN Classifier,0.00001,0.01,0.1,100000
9,0.57105414370063,0.7006,0.7475467622181141,General PFN Classifier,0.00001,0.01,0.1,100000
10,0.5738332579090337,0.69895,0.7499431634149107,General PFN Classifier,0.00001,0.01,0.1,100000
11,0.5614078134108501,0.7122,0.7526176834422388,General PFN Classifier,0.00001,0.01,0.1,100000
12,0.5763771727586248,0.69515,0.7530256352677275,General PFN Classifier,0.00001,0.01,0.1,100000
13,0.5634033486341975,0.71315,0.7548791516370666,General PFN Classifier,0.00001,0.01,0.1,100000
14,0.5630402217625053,0.70905,0.7562584749584896,General PFN Classifier,0.00001,0.01,0.1,100000
15,0.5629602328986879,0.70745,0.7575246632262502,General PFN Classifier,0.00001,0.01,0.1,100000
16,0.5619394107229391,0.7131,0.7587942653772942,General PFN Classifier,0.00001,0.01,0.1,100000
17,0.5716832071352916,0.7006,0.7591871236163507,General PFN Classifier,0.00001,0.01,0.1,100000
18,0.5736658189706741,0.70205,0.7594614050396677,General PFN Classifier,0.00001,0.01,0.1,100000
19,0.5626170500448555,0.70655,0.7603108367817055,General PFN Classifier,0.00001,0.01,0.1,100000
20,0.5649226264209505,0.70645,0.7609313494760696,General PFN Classifier,0.00001,0.01,0.1,100000
21,0.5674254070421693,0.7077,0.7613998733658414,General PFN Classifier,0.00001,0.01,0.1,100000
22,0.5664606217745762,0.70255,0.7618369104887665,General PFN Classifier,0.00001,0.01,0.1,100000
23,0.5606422718543156,0.7091,0.7624339214038207,General PFN Classifier,0.00001,0.01,0.1,100000
24,0.5595215242000142,0.7122,0.7631471991895742,General PFN Classifier,0.00001,0.01,0.1,100000
25,0.565228564344394,0.70345,0.7634544206061082,General PFN Classifier,0.00001,0.01,0.1,100000
26,0.563005327988582,0.70865,0.7639606565839339,General PFN Classifier,0.00001,0.01,0.1,100000
27,0.5624560430930678,0.7125,0.7644657202746111,General PFN Classifier,0.00001,0.01,0.1,100000
28,0.5655905555008324,0.7073,0.7647520761898261,General PFN Classifier,0.00001,0.01,0.1,100000
29,0.5623112529706044,0.70785,0.7652348922069364,General PFN Classifier,0.00001,0.01,0.1,100000
30,0.5549618339842293,0.71675,0.7658784931783085,General PFN Classifier,0.00001,0.01,0.1,100000
31,0.5646224718564635,0.70825,0.7661963974190947,General PFN Classifier,0.00001,0.01,0.1,100000
32,0.5574660546081082,0.71455,0.7667067750695629,General PFN Classifier,0.00001,0.01,0.1,100000
33,0.5541465498839214,0.71855,0.7672171596654425,General PFN Classifier,0.00001,0.01,0.1,100000
34,0.5559258732446439,0.71205,0.7676659403265405,General PFN Classifier,0.00001,0.01,0.1,100000
35,0.5519788927713017,0.7153,0.768229424217726,General PFN Classifier,0.00001,0.01,0.1,100000
36,0.5583705017521123,0.71095,0.7685493543562301,General PFN Classifier,0.00001,0.01,0.1,100000
37,0.5510466835301393,0.71325,0.7690917055938354,General PFN Classifier,0.00001,0.01,0.1,100000
38,0.5616167846379007,0.70715,0.7692834218338419,General PFN Classifier,0.00001,0.01,0.1,100000
39,0.5557073694505509,0.71325,0.7696153671855401,General PFN Classifier,0.00001,0.01,0.1,100000
40,0.5522393610826724,0.71385,0.7701062325161556,General PFN Classifier,0.00001,0.01,0.1,100000
41,0.5577782506396056,0.71135,0.7703520795638783,General PFN Classifier,0.00001,0.01,0.1,100000
42,0.5622433120278036,0.70795,0.7705049099867679,General PFN Classifier,0.00001,0.01,0.1,100000
43,0.567371768366759,0.6995,0.7705307610924225,General PFN Classifier,0.00001,0.01,0.1,100000
44,0.5627252370308918,0.70365,0.7706142962552306,General PFN Classifier,0.00001,0.01,0.1,100000
45,0.5508064821267583,0.7182,0.771010361918011,General PFN Classifier,0.00001,0.01,0.1,100000
46,0.5567130064888365,0.7098,0.771245190263419,General PFN Classifier,0.00001,0.01,0.1,100000
47,0.5559461521115273,0.7137,0.7714929788046327,General PFN Classifier,0.00001,0.01,0.1,100000
48,0.5571089037664377,0.716,0.7717288344465141,General PFN Classifier,0.00001,0.01,0.1,100000
49,0.5527524648198656,0.71745,0.7720367741198314,General PFN Classifier,0.00001,0.01,0.1,100000
50,0.5482109263064755,0.71725,0.772382924621323,General PFN Classifier,0.00001,0.01,0.1,100000
51,0.546775038265119,0.72365,0.7727129418058877,General PFN Classifier,0.00001,0.01,0.1,100000
52,0.5487594399482582,0.71845,0.773059666657279,General PFN Classifier,0.00001,0.01,0.1,100000
