epoch,loss,acc,auc,model,lr,weight_decay,blur_size
54,0.6378053352236748,0.6455,0.6672711822652563,Lorenz-invariant Classifier,1e-6,0.01,0.1
55,0.6470520123839378,0.635,0.6671161451919867,Lorenz-invariant Classifier,1e-6,0.01,0.1
56,0.6416698712855577,0.644,0.6672560196131337,Lorenz-invariant Classifier,1e-6,0.01,0.1
57,0.6612461265176535,0.61425,0.6668577546987369,Lorenz-invariant Classifier,1e-6,0.01,0.1
58,0.6457810830324888,0.63475,0.6669951425441027,Lorenz-invariant Classifier,1e-6,0.01,0.1
59,0.6547112334519625,0.61925,0.6668384210215342,Lorenz-invariant Classifier,1e-6,0.01,0.1
60,0.6429247632622719,0.62875,0.6669438581444561,Lorenz-invariant Classifier,1e-6,0.01,0.1
61,0.6427326835691929,0.6345,0.6671170029055739,Lorenz-invariant Classifier,1e-6,0.01,0.1
62,0.6473552025854588,0.63075,0.6671021715640746,Lorenz-invariant Classifier,1e-6,0.01,0.1
63,0.6430099662393332,0.64125,0.6672285595700709,Lorenz-invariant Classifier,1e-6,0.01,0.1
64,0.6453928556293249,0.6375,0.667238908399281,Lorenz-invariant Classifier,1e-6,0.01,0.1
65,0.6496061589568853,0.6235,0.6671548183342947,Lorenz-invariant Classifier,1e-6,0.01,0.1
66,0.644157474860549,0.636,0.6671981334643425,Lorenz-invariant Classifier,1e-6,0.01,0.1
67,0.6472501419484615,0.63425,0.6671071745985522,Lorenz-invariant Classifier,1e-6,0.01,0.1
68,0.6495360136032104,0.62475,0.6670528797464401,Lorenz-invariant Classifier,1e-6,0.01,0.1
69,0.6446296405047178,0.624,0.6670341866953114,Lorenz-invariant Classifier,1e-6,0.01,0.1
70,0.6446833591908216,0.6255,0.6672212079825811,Lorenz-invariant Classifier,1e-6,0.01,0.1
71,0.6414213310927153,0.633,0.6673686386270873,Lorenz-invariant Classifier,1e-6,0.01,0.1
72,0.6508269049227238,0.62975,0.6673435986865586,Lorenz-invariant Classifier,1e-6,0.01,0.1
73,0.6472782175987959,0.62275,0.6674324208693277,Lorenz-invariant Classifier,1e-6,0.01,0.1
74,0.6438204050064087,0.62825,0.6675005438177414,Lorenz-invariant Classifier,1e-6,0.01,0.1
75,0.6432790346443653,0.63575,0.6676756739855835,Lorenz-invariant Classifier,1e-6,0.01,0.1
76,0.6438277307897806,0.629,0.6677209492533909,Lorenz-invariant Classifier,1e-6,0.01,0.1
77,0.6467339023947716,0.62775,0.6677275257304999,Lorenz-invariant Classifier,1e-6,0.01,0.1
78,0.6428726855665445,0.6295,0.6678834592781896,Lorenz-invariant Classifier,1e-6,0.01,0.1
79,0.6377140432596207,0.639,0.6681912480894804,Lorenz-invariant Classifier,1e-6,0.01,0.1
80,0.6477907337248325,0.62475,0.6682462643348022,Lorenz-invariant Classifier,1e-6,0.01,0.1
81,0.6389580126851797,0.637,0.6685007873862702,Lorenz-invariant Classifier,1e-6,0.01,0.1
82,0.6477068271487951,0.63025,0.6685447757344217,Lorenz-invariant Classifier,1e-6,0.01,0.1
83,0.6403183955699205,0.642,0.6686878993300255,Lorenz-invariant Classifier,1e-6,0.01,0.1
84,0.6467727534472942,0.63075,0.6686860921701783,Lorenz-invariant Classifier,1e-6,0.01,0.1
85,0.6496993079781532,0.63075,0.6686665839342927,Lorenz-invariant Classifier,1e-6,0.01,0.1
86,0.6524238996207714,0.62875,0.6685695454877614,Lorenz-invariant Classifier,1e-6,0.01,0.1
87,0.6479614078998566,0.62775,0.6685807376273322,Lorenz-invariant Classifier,1e-6,0.01,0.1
88,0.6420772783458233,0.63425,0.6686051954655138,Lorenz-invariant Classifier,1e-6,0.01,0.1
89,0.6469508577138186,0.63675,0.6686185288329592,Lorenz-invariant Classifier,1e-6,0.01,0.1
90,0.640651747584343,0.63675,0.6687003521929681,Lorenz-invariant Classifier,1e-6,0.01,0.1
91,0.641640730202198,0.6435,0.6688023589312297,Lorenz-invariant Classifier,1e-6,0.01,0.1
92,0.649813886731863,0.62125,0.6686451861750903,Lorenz-invariant Classifier,1e-6,0.01,0.1
93,0.6550501715391874,0.61125,0.6684532282994641,Lorenz-invariant Classifier,1e-6,0.01,0.1
94,0.6480916850268841,0.625,0.6684505322931308,Lorenz-invariant Classifier,1e-6,0.01,0.1
95,0.655857877805829,0.622,0.6682903503123058,Lorenz-invariant Classifier,1e-6,0.01,0.1
96,0.641674792394042,0.63725,0.6684588087137483,Lorenz-invariant Classifier,1e-6,0.01,0.1
97,0.6403379514813423,0.6325,0.6685829278574229,Lorenz-invariant Classifier,1e-6,0.01,0.1
98,0.6430463045835495,0.632,0.6687463310232349,Lorenz-invariant Classifier,1e-6,0.01,0.1
99,0.6439279392361641,0.639,0.6688523453602715,Lorenz-invariant Classifier,1e-6,0.01,0.1
100,0.641279187053442,0.638,0.6689226466973072,Lorenz-invariant Classifier,1e-6,0.01,0.1
